file_name	pmid
GCA_039781665	no pmid
GCA_039782795	no pmid
GCA_039783105	no pmid
GCA_039783195	no pmid
GCA_039783225	no pmid
GCA_039783255	no pmid
GCA_039783285	no pmid
GCA_039783295	no pmid
GCA_039783405	no pmid
GCA_039783475	no pmid
GCA_039783625	no pmid
GCA_039783635	no pmid
GCA_039783785	no pmid
GCA_039783955	no pmid
GCA_039784265	no pmid
GCA_039784555	no pmid
GCA_039784805	no pmid
GCA_039784855	no pmid
GCA_039784885	no pmid
GCA_039784895	no pmid
GCA_039784985	no pmid
GCA_040731245	no pmid
GCA_040733935	no pmid
GCA_040733985	no pmid
GCA_040836615	no pmid
GCA_041509385	no pmid
GCA_041510115	no pmid
GCA_041510825	no pmid
GCA_041511495	no pmid
GCA_041512205	no pmid
GCA_041512935	no pmid
GCA_041513585	no pmid
GCA_041514255	no pmid
GCA_041514265	no pmid
GCA_041514275	no pmid
GCA_041514285	no pmid
GCA_041514295	no pmid
GCA_041514325	no pmid
GCA_041514335	no pmid
GCA_041514345	no pmid
GCA_041514355	no pmid
GCA_041893975	no pmid
GCA_042822795	39417630
GCA_042823405	39417630
GCA_042823915	39417630
GCA_042824005	39417630
GCA_042824935	39417630
GCA_042825465	39417630
GCA_042826005	39417630
GCA_042826515	39417630
GCA_042826985	39417630
GCA_042827775	39417630
GCA_042828865	39417630
GCA_042829395	39417630
GCA_042829845	39417630
GCA_042830455	39417630
GCA_042831615	39417630
GCA_042832205	39417630
GCA_042833365	39417630
GCA_042833835	39417630
GCA_042834645	39417630
GCA_042835325	39417630
GCA_042835875	39417630
GCA_042836465	39417630
GCA_042836995	39417630
GCA_042837585	39417630
GCA_042838115	39417630
GCA_042839455	39417630
GCA_042839885	39417630
GCA_042840455	39417630
GCA_042840885	39417630
GCA_042841075	39417630
GCA_042841845	39417630
GCA_042842215	39417630
GCA_042842865	39417630
GCA_042843455	39417630
GCA_042844005	39417630
GCA_042844555	39417630
GCA_042845125	39417630
GCA_042847285	39417630
GCA_042848965	39417630
GCA_042850475	39417630
GCA_042852015	39417630
GCA_042853255	39417630
GCA_042854585	39417630
GCA_042856145	39417630
GCA_042856795	39417630
GCA_042857585	39417630
GCA_042858075	39417630
GCA_042858705	39417630
GCA_042859375	39417630
GCA_042859885	39417630
GCA_042860615	39417630
GCA_042861675	39417630
GCA_042863435	39417630
GCA_042866015	39417630
GCA_042868505	39417630
GCA_042871315	39417630
GCA_042873075	39417630
GCA_042876235	39417630
GCA_042878675	39417630
GCA_042881415	39417630
GCA_042884265	39417630
GCA_042887365	39417630
GCA_042890665	39417630
GCA_042895565	39417630
GCA_042899835	39417630
GCA_042902765	39417630
GCA_042903515	39417630
GCA_042904165	39417630
GCA_042904735	39417630
GCA_042905385	39417630
GCA_042905975	39417630
GCA_042906585	39417630
GCA_042907155	39417630
GCA_042907745	39417630
GCA_042908255	39417630
GCA_042908825	39417630
GCA_042909395	39417630
GCA_042909985	39417630
GCA_042910495	39417630
GCA_042911105	39417630
GCA_042911635	39417630
GCA_042912165	39417630
GCA_042912675	39417630
GCA_042913305	39417630
GCA_042913815	39417630
GCA_042914585	39417630
GCA_042914955	39417630
GCA_042915565	39417630
GCA_042916075	39417630
GCA_042916705	39417630
GCA_042917235	39417630
GCA_042917805	39417630
GCA_042918355	39417630
GCA_042918885	39417630
GCA_042920665	39417630
GCA_042921085	39417630
GCA_042921695	39417630
GCA_042922305	39417630
GCA_042922855	39417630
GCA_042923325	39417630
GCA_042924555	39417630
GCA_042925125	39417630
GCA_042925415	39417630
GCA_042925425	39417630
GCA_042925715	39417630
GCA_043099355	no pmid
GCA_043702715	no pmid
GCA_043703385	no pmid
GCA_043704035	no pmid
GCA_043704665	no pmid
GCA_043705335	no pmid
GCA_043705905	no pmid
GCA_043706535	no pmid
GCA_043707145	no pmid
GCA_043707715	no pmid
GCA_044740735	no pmid
GCA_045159845	no pmid
GCA_045159855	no pmid
GCA_045159865	no pmid
GCA_045345565	39388235
GCA_046245185	no pmid
GCA_046352925	no pmid
GCA_900094135	no pmid
GCA_900474805	no pmid
GCA_900474875	no pmid
GCA_900474985	no pmid
GCA_900475025	no pmid
GCA_900475095	no pmid
GCA_900475125	no pmid
GCA_900475225	no pmid
GCA_900475435	no pmid
